sample_id,manifest_schema_version,dataset_name,source_video_id,source_video_name,source_group_id,source_group_review_required,source_sha256,video_path,clip_id,clip_start,clip_end,core_clip_start,core_clip_end,num_frames,split,authenticity_label,authenticity_label_name,manipulation_type,scene_id,camera_id,camera_identity_status,coordinate_system_id,frame_manifest_path,object_observations_path,depth_observations_path,pose_observations_path,track_observations_path,semantic3d_observations_path,valid_object_count,valid_depth_count,valid_pose_count,valid_track_point_count,valid_semantic3d_count,usable,exclusion_reason,protocol_sha256,metadata
sample_03cecb0bb1fb0e753e26820e,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_f25efe56b602def055a7,real_1,srcgrp_2895c465aad64271e3a8,True,c85cdd48ffe7f9722f3a7302202c7fc5d1fae93ad6ead6b75d3a34d9e74ee174,data/tests_videos/tests_real_videos/real_1.mp4,clip_bd6541f72ad1c24ab9db,28,67,32,63,40,validation,0,real,unknown,0,,camera_identity_unavailable,coord_a4237a3a976a0d53f615,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,99,40,0,1067,37,True,,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""pose""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_fd7e1fbd49df2427634e"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_07598ddde6e547396f97a1da,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,real_2,srcgrp_00d1b251018f09d2aa69,True,c833105a2514a32b11e8ceab387754f695841df8ec2978fa5177f32aa13aa124,data/tests_videos/tests_real_videos/real_2.mp4,clip_36b6076d1e82f53bd020,124,163,128,159,40,validation,0,real,unknown,0,,camera_identity_unavailable,coord_a75450ceb8ac9fe311e3,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,0,40,0,0,0,False,required_objects_unavailable,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""objects"",""pose"",""semantic3d"",""tracks""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_86e82c3ee839e1930508"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_0d4a3bbaef053fa5330c1c1d,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_f25efe56b602def055a7,real_1,srcgrp_2895c465aad64271e3a8,True,c85cdd48ffe7f9722f3a7302202c7fc5d1fae93ad6ead6b75d3a34d9e74ee174,data/tests_videos/tests_real_videos/real_1.mp4,clip_9338724182fe060b6225,108,147,112,143,40,validation,0,real,unknown,0,,camera_identity_unavailable,coord_f17215d4e47d3f74f4ce,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,45,40,0,0,0,True,,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""pose"",""semantic3d"",""tracks""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_231664e458f2182373aa"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_0ebd362a45de11f2aeb45af7,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,real_3,srcgrp_3e3820a3bd210d2e8298,True,807c91abd1402b1f7b54d5ae30ace18a7f35cbc8a208c939cf0e2912cc10c200,data/tests_videos/tests_real_videos/real_3.mp4,clip_32f6f2434a752c33b957,124,163,128,159,40,validation,0,real,unknown,0,,camera_identity_unavailable,coord_d1636b9059231e7ad6f9,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,120,40,0,2277,40,True,,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""pose""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_6ed91e2443d989d6542a"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_100e427ec11f11fa5492183a,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,real_3,srcgrp_3e3820a3bd210d2e8298,True,807c91abd1402b1f7b54d5ae30ace18a7f35cbc8a208c939cf0e2912cc10c200,data/tests_videos/tests_real_videos/real_3.mp4,clip_e509064fa453a2d55dd1,28,67,32,63,40,validation,0,real,unknown,0,,camera_identity_unavailable,coord_8db0be55940973a9b3dd,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,120,40,0,2284,40,True,,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""pose""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_d81604202a960398cd58"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_12cce6670f7f5ef1dda75dd7,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_54583b973ba895eef092,fake_2,srcgrp_37ade6ecaa31f45eb219,True,f225bd4572313c5fd385be4dab951c57652a40d3a1eeb2a34de9bf7c8bea9e04,data/tests_videos/tests_fake_videos/fake_2.mp4,clip_34d587643cef108d0f1d,0,35,0,31,36,validation,1,fake,unknown,0,,camera_identity_unavailable,coord_0ff8351623d945f05b5b,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,175,36,0,1639,36,True,,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""pose""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_4f8b7dfeb27eb60965d8"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_14cd871aaa3a6f47166d7b73,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_54583b973ba895eef092,fake_2,srcgrp_37ade6ecaa31f45eb219,True,f225bd4572313c5fd385be4dab951c57652a40d3a1eeb2a34de9bf7c8bea9e04,data/tests_videos/tests_fake_videos/fake_2.mp4,clip_c2415426b932a617e777,76,115,80,111,40,validation,1,fake,unknown,0,,camera_identity_unavailable,coord_b3bdd4264e573fa2098b,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,147,40,0,1609,40,True,,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""pose""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_0241a05e8bcc8ef58cd1"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_16da7e8a9e40e65ed70c971d,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_268dfd36af1b786fe5b4,real_4,srcgrp_5ebf2741cd7777cb0d85,True,70757851a0e9615fdde3cf1d38fae8e932246fa9acd580e9d22dd3310e606824,data/tests_videos/tests_real_videos/real_4.mp4,clip_bcf1ff703a28de9bc0da,92,131,96,127,40,validation,0,real,unknown,0,,camera_identity_unavailable,coord_f3d216d3c36fd0330f07,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,168,40,0,2952,40,True,,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""pose""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_cb714de49bbe26f95571"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_1b6b9d4a5c2b851415b7097c,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,fake_1,srcgrp_ad541476a7a3388e2c5f,True,3603227d21d0dd2faf8690e90d577f1cc4ffb3884bb20459d02666fdbcd0f102,data/tests_videos/tests_fake_videos/fake_1.mp4,clip_2f83b366d83ea2cd4efb,85,120,89,120,36,validation,1,fake,unknown,0,,camera_identity_unavailable,coord_73127134c00e8c22bf66,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,73,36,0,1432,36,True,,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""pose""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_2a40e3a88f934f6741af"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
sample_1e03b6544e0fd15b98ed72c8,p4c1_experiment_manifest_v1,local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,real_2,srcgrp_00d1b251018f09d2aa69,True,c833105a2514a32b11e8ceab387754f695841df8ec2978fa5177f32aa13aa124,data/tests_videos/tests_real_videos/real_2.mp4,clip_83dddaa39fbbb0a0aad2,44,83,48,79,40,validation,0,real,unknown,0,,camera_identity_unavailable,coord_644093bb45d1dde2e2ee,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/manifests/frames.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/objects.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/depth.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/camera.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/point_tracks_2d.parquet,outputs/structural_enhancement_dataset/p4b5_six_video_full_observation/observations/shared_3d_frames.parquet,0,40,0,0,0,False,required_objects_unavailable,004fb982597091e038bbb833370169626326f0ad5ecd0998fd61132ed1dffc12,"{""availability_missing_modalities"":[""camera_identity"",""objects"",""pose"",""semantic3d"",""tracks""],""geometry_mode"":""unavailable"",""geometry_validation_only"":true,""overlapping_clip_inherits_video_split"":true,""pose_graph_id"":""posegraph_a6ac75911b3af920e983"",""residual_values_read"":false,""sequence_scale_status"":""unknown"",""source_group_review_reason"":""original_real_and_derivative_relationship_not_provided"",""source_grouping_basis"":""file_hash_fallback_unresolved_origin"",""split_source"":""independent_manifest_protocol_smoke""}"
