dataset_name,derived_video_id,task_name,eligibility,eligible_for_declared_role,eligible_for_formal_experiment,evaluation_scope,ineligibility_reason,provider_name,available_observation_count,expected_observation_count,metadata,eligibility_scope
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,depth_residual,eligible,True,False,geometry_validation_smoke,,depth_observation,471,471,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,object_localization,ineligible,False,False,geometry_validation_smoke,object_localization_annotations_unavailable,metadata,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,occlusion_and_reappearance,not_applicable,False,False,geometry_validation_smoke,no_observable_occlusion_event,formal_mask_depth_order_visibility,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,reprojection_D1,provider_failed,False,False,geometry_validation_smoke,no_static_camera_3d_ready_clip,camera_pose_and_track_geometry,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,reprojection_D2,provider_failed,False,False,geometry_validation_smoke,no_rotation_compensated_ready_clip,camera_pose_and_track_geometry,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,reprojection_D3,provider_failed,False,False,geometry_validation_smoke,no_full_se3_3d_ready_clip,camera_pose_and_track_geometry,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,spatial_localization,ineligible,False,False,geometry_validation_smoke,spatial_annotations_unavailable,metadata,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,static_geometry,eligible,True,False,geometry_validation_smoke,,shared_3d_frame_observation,3,195,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,temporal_localization,ineligible,False,False,geometry_validation_smoke,temporal_annotations_unavailable,metadata,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_16841aeab1be01e8d6e0,video_classification,ineligible,False,False,geometry_validation_smoke,geometry_validation_smoke_not_formal_classification_data,metadata,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_268dfd36af1b786fe5b4,depth_residual,eligible,True,False,geometry_validation_smoke,,depth_observation,392,392,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
