sample_id,dataset_name,source_video_id,group_id,official_split,split,label,generator_name,generation_task,video_id,prompt_sha256,selection_key,archive_path,archive_member_path,file_size_compressed,file_size_uncompressed,license_status,download_status
real::gJKsjHgG6sI_10_0to520,AIGVDBench,gJKsjHgG6sI_10_0to520,aigvdbench:gJKsjHgG6sI_10_0to520,train,train,0,,real_video,gJKsjHgG6sI_10_0to520.mp4,b98aa93dfb39f614a2698a4d0d4b37a99eaa71d1935142919bfc0edf8559d988,0007c1b7844e3063c9e4dfe15ea30cc0758670a782bc3d06838baa86a1248dd7,AIGVDBench/Real/Real.zip,videos/gJKsjHgG6sI_10_0to520.mp4,14368768,14370468,dataset_cc_by_4_0_component_partial,not_downloaded
open_sora::gJKsjHgG6sI_10_0to520,AIGVDBench,gJKsjHgG6sI_10_0to520,aigvdbench:gJKsjHgG6sI_10_0to520,train,train,1,Open-Sora,text_to_video,gJKsjHgG6sI_10_0to520.mp4,b98aa93dfb39f614a2698a4d0d4b37a99eaa71d1935142919bfc0edf8559d988,0007c1b7844e3063c9e4dfe15ea30cc0758670a782bc3d06838baa86a1248dd7,AIGVDBench/OpenSource/T2V/Open-Sora.zip,videos/gJKsjHgG6sI_10_0to520.mp4,45253,46006,dataset_cc_by_4_0_component_partial,not_downloaded
real::5Jt_XnncnVg_27_0to401,AIGVDBench,5Jt_XnncnVg_27_0to401,aigvdbench:5Jt_XnncnVg_27_0to401,train,train,0,,real_video,5Jt_XnncnVg_27_0to401.mp4,f3adb124b1250d4da599eb59ca5477c966c2feac2ec9597772fb53203d841073,00096152c8778a5999b8e515beffc73f6e977e318ba3f5d03e075e87ac067c47,AIGVDBench/Real/Real.zip,videos/5Jt_XnncnVg_27_0to401.mp4,11414387,11415309,dataset_cc_by_4_0_component_partial,not_downloaded
open_sora::5Jt_XnncnVg_27_0to401,AIGVDBench,5Jt_XnncnVg_27_0to401,aigvdbench:5Jt_XnncnVg_27_0to401,train,train,1,Open-Sora,text_to_video,5Jt_XnncnVg_27_0to401.mp4,f3adb124b1250d4da599eb59ca5477c966c2feac2ec9597772fb53203d841073,00096152c8778a5999b8e515beffc73f6e977e318ba3f5d03e075e87ac067c47,AIGVDBench/OpenSource/T2V/Open-Sora.zip,videos/5Jt_XnncnVg_27_0to401.mp4,42371,43190,dataset_cc_by_4_0_component_partial,not_downloaded
real::Dh0v721XH9A_4_0to224,AIGVDBench,Dh0v721XH9A_4_0to224,aigvdbench:Dh0v721XH9A_4_0to224,train,train,0,,real_video,Dh0v721XH9A_4_0to224.mp4,ea83118fe02b170aa55b9b361df15c82b9765263c2bb635e9304cb838ce44b05,000b7acef8f40301727aff6f2ee08c7dcfb3fd8e15ae13112c46f0493e323591,AIGVDBench/Real/Real.zip,videos/Dh0v721XH9A_4_0to224.mp4,2381606,2382338,dataset_cc_by_4_0_component_partial,not_downloaded
open_sora::Dh0v721XH9A_4_0to224,AIGVDBench,Dh0v721XH9A_4_0to224,aigvdbench:Dh0v721XH9A_4_0to224,train,train,1,Open-Sora,text_to_video,Dh0v721XH9A_4_0to224.mp4,ea83118fe02b170aa55b9b361df15c82b9765263c2bb635e9304cb838ce44b05,000b7acef8f40301727aff6f2ee08c7dcfb3fd8e15ae13112c46f0493e323591,AIGVDBench/OpenSource/T2V/Open-Sora.zip,videos/Dh0v721XH9A_4_0to224.mp4,71118,71870,dataset_cc_by_4_0_component_partial,not_downloaded
real::2f6LelxirVM_1_0to123,AIGVDBench,2f6LelxirVM_1_0to123,aigvdbench:2f6LelxirVM_1_0to123,train,train,0,,real_video,2f6LelxirVM_1_0to123.mp4,517e7c19c14e18cb121cec8d9d5bc488e7db523b6dc4bbcd5da4fbe506d522d5,000fd69a5f88fa49867fe1831e3821a769741134cf1246095e3b5d17cb52a29d,AIGVDBench/Real/Real.zip,videos/2f6LelxirVM_1_0to123.mp4,1122129,1122926,dataset_cc_by_4_0_component_partial,not_downloaded
open_sora::2f6LelxirVM_1_0to123,AIGVDBench,2f6LelxirVM_1_0to123,aigvdbench:2f6LelxirVM_1_0to123,train,train,1,Open-Sora,text_to_video,2f6LelxirVM_1_0to123.mp4,517e7c19c14e18cb121cec8d9d5bc488e7db523b6dc4bbcd5da4fbe506d522d5,000fd69a5f88fa49867fe1831e3821a769741134cf1246095e3b5d17cb52a29d,AIGVDBench/OpenSource/T2V/Open-Sora.zip,videos/2f6LelxirVM_1_0to123.mp4,46599,47437,dataset_cc_by_4_0_component_partial,not_downloaded
real::Ec101pAONBM_85_0to110,AIGVDBench,Ec101pAONBM_85_0to110,aigvdbench:Ec101pAONBM_85_0to110,train,train,0,,real_video,Ec101pAONBM_85_0to110.mp4,248f93cae0de3595d8d4d3d33747ab878e855d13f22286391dfd8ded2a9be6db,001120696131e9a5239f9528495bfcede7d957978eed9b416da9dd4e3682b2ca,AIGVDBench/Real/Real.zip,videos/Ec101pAONBM_85_0to110.mp4,1360065,1360529,dataset_cc_by_4_0_component_partial,not_downloaded
open_sora::Ec101pAONBM_85_0to110,AIGVDBench,Ec101pAONBM_85_0to110,aigvdbench:Ec101pAONBM_85_0to110,train,train,1,Open-Sora,text_to_video,Ec101pAONBM_85_0to110.mp4,248f93cae0de3595d8d4d3d33747ab878e855d13f22286391dfd8ded2a9be6db,001120696131e9a5239f9528495bfcede7d957978eed9b416da9dd4e3682b2ca,AIGVDBench/OpenSource/T2V/Open-Sora.zip,videos/Ec101pAONBM_85_0to110.mp4,51062,51925,dataset_cc_by_4_0_component_partial,not_downloaded
