sample_id,group_id,split,label_for_posthoc_reference,archive_path,archive_revision,archive_member_path,local_video_path,expected_uncompressed_size,actual_file_size,zip_crc,sha256,codec,width,height,fps,duration_seconds,frame_count,range_bytes_transferred,extraction_seconds,ffprobe_ok,status,failure_reason,candidate_manifest_sha256
real::gJKsjHgG6sI_10_0to520,aigvdbench:gJKsjHgG6sI_10_0to520,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/gJKsjHgG6sI_10_0to520.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpnSktzakhnRzZzSV8xMF8wdG81MjA/real.mp4,14370468,14370468,61ab8b5c,db2a2f9f582aafaa427fc3e9ce685c238d0c662c92ef1bfe627605be1bf33117,h264,1920,1080,25.0,20.8,520,14368858,32.769879263825715,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::gJKsjHgG6sI_10_0to520,aigvdbench:gJKsjHgG6sI_10_0to520,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/gJKsjHgG6sI_10_0to520.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpnSktzakhnRzZzSV8xMF8wdG81MjA/open_sora.mp4,46006,46006,29114786,d52c062cf0f2debde21d8d8fe74be4d56d0479e6f4b88f53682ef97d66fef68d,h264,336,192,24.0,1.541667,37,45315,18.36095459293574,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::5Jt_XnncnVg_27_0to401,aigvdbench:5Jt_XnncnVg_27_0to401,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/5Jt_XnncnVg_27_0to401.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDo1SnRfWG5uY25WZ18yN18wdG80MDE/real.mp4,11415309,11415309,59cc17c7,79d5360fa8cdba2152a979d3114b623d555e26ee8556566ee6237e08cd9d7192,h264,1920,1080,30.0,13.366667,401,11414477,28.980912710539997,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::5Jt_XnncnVg_27_0to401,aigvdbench:5Jt_XnncnVg_27_0to401,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/5Jt_XnncnVg_27_0to401.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDo1SnRfWG5uY25WZ18yN18wdG80MDE/open_sora.mp4,43190,43190,b2db6d14,7c73a1865a8f6f61210f22c0165c13ed0e66ff851bb0994d3b0fb5be4d798022,h264,336,192,24.0,1.541667,37,42433,17.822688058950007,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::Dh0v721XH9A_4_0to224,aigvdbench:Dh0v721XH9A_4_0to224,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/Dh0v721XH9A_4_0to224.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpEaDB2NzIxWEg5QV80XzB0bzIyNA/real.mp4,2382338,2382338,bf7d5e77,9f9a26a04a4994b4b3324ada9f634ce7f14a741f700a4ef6501441c643cbda4b,h264,1920,1080,30.0,6.766667,203,2381695,19.539562181569636,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::Dh0v721XH9A_4_0to224,aigvdbench:Dh0v721XH9A_4_0to224,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/Dh0v721XH9A_4_0to224.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpEaDB2NzIxWEg5QV80XzB0bzIyNA/open_sora.mp4,71870,71870,67f535b3,4cc1e352f4b98191b9ed0a9253f05c2a7cb528aadf133f36f5a7857bc9106c8f,h264,336,192,24.0,1.541667,37,71179,18.221938906237483,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::2f6LelxirVM_1_0to123,aigvdbench:2f6LelxirVM_1_0to123,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/2f6LelxirVM_1_0to123.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDoyZjZMZWx4aXJWTV8xXzB0bzEyMw/real.mp4,1122926,1122926,76590968,5d2e0486e01ddb5a6c5d3aa2998d4211273abbcc0e209531bdb2a7586960c0c6,h264,1920,1080,23.976,4.254254,102,1122218,18.807308967225254,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::2f6LelxirVM_1_0to123,aigvdbench:2f6LelxirVM_1_0to123,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/2f6LelxirVM_1_0to123.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDoyZjZMZWx4aXJWTV8xXzB0bzEyMw/open_sora.mp4,47437,47437,eaf5fa09,37258201b9d29f6e28e76728baeb353e42a584c4eb80dc3110c9fe5963c31ba1,h264,336,192,24.0,1.541667,37,46660,18.329980901442468,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::Ec101pAONBM_85_0to110,aigvdbench:Ec101pAONBM_85_0to110,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/Ec101pAONBM_85_0to110.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpFYzEwMXBBT05CTV84NV8wdG8xMTA/real.mp4,1360529,1360529,0d746594,9baedbb0b7ec48fe970a6b67f814ac7947be84ec30c747e97d3ee6dd95ec2710,h264,1920,1080,29.97,2.969636,89,1360155,18.667089136317372,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::Ec101pAONBM_85_0to110,aigvdbench:Ec101pAONBM_85_0to110,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/Ec101pAONBM_85_0to110.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpFYzEwMXBBT05CTV84NV8wdG8xMTA/open_sora.mp4,51925,51925,7f90a30e,1935ef7bfd0170d2c6d20fe0c70f0dd508adf5ca7e2a6b8ed3965b219c104cae,h264,336,192,24.0,1.541667,37,51124,17.82354537770152,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
