group_id,split,real_status,fake_status,residual_schema_equal,sampling_protocol_equal,group_status
aigvdbench:gJKsjHgG6sI_10_0to520,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:5Jt_XnncnVg_27_0to401,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Dh0v721XH9A_4_0to224,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:2f6LelxirVM_1_0to123,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Ec101pAONBM_85_0to110,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:RN_7nPK_pYI_0_0to319,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:YUPQHE8dOyI_9_0to176,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:mHoO8vEm1co_1_34to168,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:ci8GjIKQDKU_24_0to109,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:9S2-sD1HIbQ_21_126to247,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:EXmiHun7d-8_29_776to898,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:wmd4Nbunuyg_11_193to331,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:w7h--c54_O8_24_0to135,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:2lTq3d3vY04_0_96to280,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:qb4DJAgNGiQ_87_29to141,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:zEr5cbkNabY_38_39to140,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:_Z5UMH8trWE_637_136to247,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:BjNdaV_Jz4U_5_0to151,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:kNVy_zN3BHA_44_53to302,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:lExN3FdIvw8_26_0to110,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:ym205HqYEnE_71_0to113,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:F29HGMNKcnk_63_0to191,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:iPxDcHbS1xc_32_0to136,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:1IL7cpSq1t0_16_0to298,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:-i7R-fPF22c_6_108to292,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Y1UAh2rVzQ8_55_0to120,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:cSujpyEO_1g_53_0to114,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:OmT-7Wp51fc_17_40to688,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:kzDGAGz-EW8_200_61to188,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Q_KZpoxs7eY_34_0to138,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:WAkqEg1P-6k_41_84to283,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:RFpJwdKwyjc_6_844to1110,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
