sample_id,group_id,split,label_for_posthoc_reference,analysis_ok,source_video_sha256,sampling_provenance_sha256,residual_sha256,frames,clips,objects,object_tracks,point_tracks,semantic_prior_total,semantic_prior_available,semantic_temporal_total,semantic_temporal_available,d1_total,d1_available,d2_total,d2_available,d3_total,d3_available,overall_coverage,runtime_seconds,peak_gpu_memory_mb,failure_reason,source_commit,source_config_sha256,scale_prior_schema_version,scale_prior_sha256,scale_prior_source_table_sha256,canonical_axis_schema_version,canonical_threshold_config_sha256,scale_prior_entry_id,scale_prior_confidence,sampler_version,authenticity_label_used,result_path
real::gJKsjHgG6sI_10_0to520,aigvdbench:gJKsjHgG6sI_10_0to520,train,0,True,db2a2f9f582aafaa427fc3e9ce685c238d0c662c92ef1bfe627605be1bf33117,6500a919fb2ec8537986ccf6dae95f17c5d2e552d9cafb6e6e7fd17816aef17d,a114f994da6256259dcda62cb63bbfbec557284b5a90b6897d224c116f37a020,32,4,0,0,1674,0,0,0,0,2578,2262,3952,2528,0,0,0.6470464954336393,41.78486213553697,479.22314453125,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,[],{},uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6Z0pLc2pIZ0c2c0lfMTBfMHRvNTIw/result.json
open_sora::gJKsjHgG6sI_10_0to520,aigvdbench:gJKsjHgG6sI_10_0to520,train,1,True,d52c062cf0f2debde21d8d8fe74be4d56d0479e6f4b88f53682ef97d66fef68d,4d29df121055255b3ebad0cc66085220168e359f7b7f0484c20c34190ed9d064,c46e1e621160d425c90ac51bf47acc98f7d0501b1cc094cdee159901703be468,32,4,11,3,1194,11,0,11,0,4352,4352,3258,1140,18,0,0.7136755020617118,13.050979216583073,442.99609375,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpnSktzakhnRzZzSV8xMF8wdG81MjA/result.json
real::5Jt_XnncnVg_27_0to401,aigvdbench:5Jt_XnncnVg_27_0to401,train,0,True,79d5360fa8cdba2152a979d3114b623d555e26ee8556566ee6237e08cd9d7192,a3601a86d2682b2e579cb158a41d011a6c381ee9d9113807345c7667018012d2,77fa1dfbb2a729aee8881d2570fffd5e063a12237f7bdbeb95e1f1b9762d15db,32,4,17,10,574,17,0,17,2,1026,555,3149,1112,45,0,0.33345209490055333,38.25805449485779,479.2236328125,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1"",""kitti_person_height_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high"",""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6NUp0X1hubmNuVmdfMjdfMHRvNDAx/result.json
open_sora::5Jt_XnncnVg_27_0to401,aigvdbench:5Jt_XnncnVg_27_0to401,train,1,True,7c73a1865a8f6f61210f22c0165c13ed0e66ff851bb0994d3b0fb5be4d798022,4b1bc7c7b3daa195b9676f7299c98ee4ab806543be4cebb0f8e112df659324c6,d5f96156868335cac96de9c867cf93d1962fe0f0d5a9c3d01f90d034a6a6c35e,32,4,1,1,699,1,0,1,0,4888,4722,4144,2912,3,0,0.7926429255763756,13.889737326651812,442.99560546875,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjo1SnRfWG5uY25WZ18yN18wdG80MDE/result.json
real::Dh0v721XH9A_4_0to224,aigvdbench:Dh0v721XH9A_4_0to224,train,0,True,9f9a26a04a4994b4b3324ada9f634ce7f14a741f700a4ef6501441c643cbda4b,b24243f6e413fcc8f72e12c32e79f88a7d7a465e36f4dc72f7976748f53e83f5,e438258ee31c319f5b000e3cd867d3ecf2666868e470d7b6b0c00a657c6981a4,32,4,103,23,1490,103,0,103,27,3270,3270,4913,4666,370,93,0.9136562900120105,54.42368334252387,479.92724609375,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1"",""objectron_bottle_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high"",""objectron_bottle_height_q01_q99_v1"":""medium""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6RGgwdjcyMVhIOUFfNF8wdG8yMjQ/result.json
open_sora::Dh0v721XH9A_4_0to224,aigvdbench:Dh0v721XH9A_4_0to224,train,1,True,4cc1e352f4b98191b9ed0a9253f05c2a7cb528aadf133f36f5a7857bc9106c8f,346d9980a4a9cca74bdb928f443f08123866c0a51836fe52ee2af6753746c251,066bec10e62285c55bb1802b46f709d811997078854fe2ef89308e7091ddab67,32,4,234,39,985,234,0,234,116,5109,5109,5302,5228,1111,840,0.9416944123094069,23.858696250244975,444.9853515625,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpEaDB2NzIxWEg5QV80XzB0bzIyNA/result.json
real::2f6LelxirVM_1_0to123,aigvdbench:2f6LelxirVM_1_0to123,train,0,True,5d2e0486e01ddb5a6c5d3aa2998d4211273abbcc0e209531bdb2a7586960c0c6,fb49503a4fb0627931ea5bb5e867415f03a39cf598f58a185c37cb5302f21f6d,3b9b147c1c93d12bff66b2c72613ad9fb334289055a166b29f7541005ad510a1,32,4,62,13,1534,62,0,62,3,2616,2427,3059,742,124,21,0.5167206853750385,49.758136961609125,479.69287109375,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6MmY2TGVseGlyVk1fMV8wdG8xMjM/result.json
open_sora::2f6LelxirVM_1_0to123,aigvdbench:2f6LelxirVM_1_0to123,train,1,True,37258201b9d29f6e28e76728baeb353e42a584c4eb80dc3110c9fe5963c31ba1,83286293c42bc24e209294e6beebb90ec4d17f223c3db7c83fa838ed50b1b9b2,e1fb699b9a619e50871f35241e5283fb1a424fb0dd0b34287cdec059e1ae1c2d,32,4,41,8,1214,41,0,41,8,3843,3843,4784,4576,59,6,0.9617025912565464,16.843426308594644,443.46533203125,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1"",""objectron_bottle_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high"",""objectron_bottle_height_q01_q99_v1"":""medium""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjoyZjZMZWx4aXJWTV8xXzB0bzEyMw/result.json
real::Ec101pAONBM_85_0to110,aigvdbench:Ec101pAONBM_85_0to110,train,0,True,9baedbb0b7ec48fe970a6b67f814ac7947be84ec30c747e97d3ee6dd95ec2710,a9ad2858083d935f0b77345f525a839e5137c656f49965e5878394a745ec83f3,019943d83f8bb877a423c114ec73782648bd975dceda9f174ef58a2c96232645,32,4,32,4,1679,32,0,32,0,3028,3027,4757,4138,32,0,0.8955546936372769,49.8541160877794,479.45849609375,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6RWMxMDFwQU9OQk1fODVfMHRvMTEw/result.json
open_sora::Ec101pAONBM_85_0to110,aigvdbench:Ec101pAONBM_85_0to110,train,1,True,1935ef7bfd0170d2c6d20fe0c70f0dd508adf5ca7e2a6b8ed3965b219c104cae,3fd3e862e84ba92750e7541a407b19535c8e07237713bbec542b331eb46eea65,7c0388f12a9ebcf373bc323873947017ec5efd2416b40bef7ace9bfb7adbb246,32,4,51,7,965,51,0,51,9,5169,5169,3680,1984,107,48,0.7904310146653148,17.53970289323479,443.23095703125,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpFYzEwMXBBT05CTV84NV8wdG8xMTA/result.json
real::RN_7nPK_pYI_0_0to319,aigvdbench:RN_7nPK_pYI_0_0to319,train,0,True,f60936b93b7baf7b21c9504e774511f8e816c6e10198dfc95c4d5a56a42e1d50,a33c7b34f12cb754dd86005934f49c30d763afb2780aa58a39beda239d87536f,b5ee546dff8fb1202cd65d5ad2c6583699094d7cc8c8fa5f4bd31097cac00240,32,4,371,77,1753,371,0,371,137,2489,2064,3606,1836,4511,2430,0.49500030135904194,96.70131554454565,483.0810546875,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1"",""kitti_person_height_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high"",""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6Uk5fN25QS19wWUlfMF8wdG8zMTk/result.json
open_sora::RN_7nPK_pYI_0_0to319,aigvdbench:RN_7nPK_pYI_0_0to319,train,1,True,6c0f59bb403d722396ebcb8082acb4a0e0b9a18f0540e138ff5c6779d5cc5c34,6018add268f9188c24c145a41903f3efefb80fe900380c37c70846a46a7c6195,6a33a9383e740b9f476f3e7419d95d46b2cbaaf7344d3656ce248c4d17ebeff8,32,4,200,30,985,200,0,200,76,2619,2177,3006,636,933,465,0.41371358450893586,20.386744923889637,443.4033203125,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1"",""kitti_person_height_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high"",""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpSTl83blBLX3BZSV8wXzB0bzMxOQ/result.json
real::YUPQHE8dOyI_9_0to176,aigvdbench:YUPQHE8dOyI_9_0to176,train,0,True,ce86521f410e5557d63040a663d7930400c2c6cdb06b0a0d972afc222ac70478,a646e260b121bb84c0302186263669bc96f9c8dd416722fc9234bd44caedf1e4,d29c7e69bbed50cc858b6ef0f4b68793967d582253585422a7b17325032be7b1,32,4,186,31,1230,186,0,186,51,3529,3529,3706,2568,1755,1158,0.7845005839594582,74.88406679406762,482.38623046875,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6WVVQUUhFOGRPeUlfOV8wdG8xNzY/result.json
open_sora::YUPQHE8dOyI_9_0to176,aigvdbench:YUPQHE8dOyI_9_0to176,train,1,True,2065ee7ed1a882eb957263f4662c989dcacd8509960db598daeef0953c27f93d,30033785a58a63c87e2fd5079a0c89de98f95f7a2ad48cc7949faf76f694ada0,316d65aeec10f435a8305d078825b8d6a57557185a6db31dc1e1f1f7bdd60cda,32,4,243,43,985,243,0,243,87,4774,4774,2978,580,2352,1665,0.670102969665662,25.119937155395746,446.29052734375,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpZVVBRSEU4ZE95SV85XzB0bzE3Ng/result.json
real::mHoO8vEm1co_1_34to168,aigvdbench:mHoO8vEm1co_1_34to168,train,0,True,8af472290251414c4441e80d63a684757f24e2a0b750940d1ebd4ffb9d1b9a72,0e729b2a7634c4dfbd027432db75dfbe518d4b8b30568f9f11e4b1a3e01f5a6f,6e0755ee84954157c219f62a3d59e591acedf151b79a1ff6c56aefc7a0c5bc95,32,4,111,20,926,111,0,111,8,4607,4557,4601,3836,413,159,0.8640529744442706,61.735785570926964,479.92724609375,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1"",""kitti_person_height_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high"",""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6bUhvTzh2RW0xY29fMV8zNHRvMTY4/result.json
open_sora::mHoO8vEm1co_1_34to168,aigvdbench:mHoO8vEm1co_1_34to168,train,1,True,c230790157817f3a34e5adfb902534a8c89827c8142bb2a7f511ef8fcf866ba7,346258aa199803d318e57aafb26b76ce8b910731f229f0a3e029352df1145dd3,ab391c88209987b64ee46ff0ac9dae5363cc71866af67dbf72c4a6d262d438bb,32,4,94,22,450,94,0,94,33,799,522,1684,1260,195,12,0.5904000222838333,13.818670871667564,443.46533203125,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1"",""kitti_person_height_q01_q99_v1"",""objectron_bottle_height_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high"",""kitti_person_height_q01_q99_v1"":""high"",""objectron_bottle_height_q01_q99_v1"":""medium""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjptSG9POHZFbTFjb18xXzM0dG8xNjg/result.json
real::ci8GjIKQDKU_24_0to109,aigvdbench:ci8GjIKQDKU_24_0to109,train,0,True,0899197c0664c0ed0d7320c70aa98e470cc95fb213f0021af42ed4ffba8fe2f9,63bf9e3ce7ae6803cfeb00f9d5496f115be6afd081ebe68f0915c37e96951754,fb929a2438102fb67e75646b1c7b93b25706171c040f09fffcf66f8fadbd4983,32,4,35,7,1698,35,0,35,0,1946,474,3709,2042,40,0,0.4249668007553388,47.223683576099575,479.45849609375,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6Y2k4R2pJS1FES1VfMjRfMHRvMTA5/result.json
open_sora::ci8GjIKQDKU_24_0to109,aigvdbench:ci8GjIKQDKU_24_0to109,train,1,True,e027ef538c44bd4d8192ad086423e8a8725ab65bc8125d22c89345c70aa016e5,49a0bd7613fe4db3b4f69b23108cf13faf8440cf7221f0fa56436edbe03c96b9,997e78bc7be91aad89e5140ab23f0981d7a64600f1b3876799e406ee0820ca89,32,4,60,13,1116,60,0,60,0,4523,4523,4168,3080,97,3,0.8530445756992603,16.64089774340391,443.46533203125,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1"",""objectron_bottle_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high"",""objectron_bottle_height_q01_q99_v1"":""medium""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpjaThHaklLUURLVV8yNF8wdG8xMDk/result.json
real::9S2-sD1HIbQ_21_126to247,aigvdbench:9S2-sD1HIbQ_21_126to247,train,0,True,b98cb3a4a3ec396b4b9f8f27f06b4a9a69851a5e6ca26e2e0edf2bf1e6e46b7a,02e6189c024e2cf9a5bb7e71f7facb6525fe59b48e60cec7049713f3584f4d5c,860069ad5784bcc088f14e3ba22019c611456325168507c09af2b16308260c37,32,4,100,15,998,100,0,100,24,4506,4506,4986,4972,434,279,0.9619712142625132,68.94643478747457,481.205078125,,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,False,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6OVMyLXNEMUhJYlFfMjFfMTI2dG8yNDc/result.json
