reason,count
BOTTLE_NOT_ELONGATED_IN_3D,1125
BOTTLE_TRACK_AXIS_INCOMPATIBLE,80
BOTTLE_TRACK_SIZE_INCOMPATIBLE,306
BOTTLE_TRUNCATED,3140
CANONICAL_MAPPING_UNAVAILABLE,40965
CAR_INDEPENDENT_VIEWPOINT_AXIS_UNAVAILABLE,19447
PERSON_POSE_PROVIDER_MISSING,128840
blocked_by_pose_or_correspondence,39897
category_too_broad_without_subtype,27177
d3_relation_values_not_comparable,13
event_state_requires_formal_d3_event_inputs,14614
event_state_requires_formal_d3_reappearance_inputs,5438
explained_visibility_change,123088
instance_mask_unavailable,44778
insufficient_history_for_appearance_explanation,62544
insufficient_mask_quality,11776
insufficient_metric_track_history,594082
insufficient_same_track_metric_history,18990
invalid_source_3d_point,12
low_detector_confidence,3837
missing_category_metric_prior,77620
missing_detection_is_not_occlusion,20631
missing_predicted_support,54471
projected_point_behind_camera,7400
projected_point_depth_conflicts_with_target_surface,532515
projected_point_out_of_frame,44607
relation_not_observed_in_both_frames,331101
relative_pose_or_intrinsics_unavailable,618983
target_depth_unavailable,697
target_surface_occludes_projected_point,472754
